route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
AKU2MDA,CR,AKU - MDA,Akurala to Maradana,,2,,,
GLE2MDA,CR,GLE - MDA,Galle to Maradana,,2,,,
MRT2KPN,CR,MRT - KPN,Moratuwa to Kompanna Vidiya,,2,,,
PAN2MDA,CR,PAN - MDA,Panadura to Maradana,,2,,,
ANM2GLE,CR,ANM - GLE,Ahangama to Galle,,2,,,
KTS2MDA,CR,KTS - MDA,Kalutara South to Maradana,,2,,,
MTR2GLE,CR,MTR - GLE,Matara to Galle,,2,,,
MLV2MDA,CR,MLV - MDA,Mount Lavinia to Maradana,,2,,,
GLE2ALT,CR,GLE - ALT,Galle to Aluthgama,,2,,,
AKU2ALT,CR,AKU - ALT,Akurala to Aluthgama,,2,,,
HML2KPN,CR,HML - KPN,Hettimulla to Kompanna Vidiya,,2,,,
AGL2KPN,CR,AGL - KPN,Angulana to Kompanna Vidiya,,2,,,
DWL2MDA,CR,DWL - MDA,Dehiwela to Maradana,,2,,,
ALT2GLE,CR,ALT - GLE,Aluthgama to Galle,,2,,,
MDA2PAN,CR,MDA - PAN,Maradana to Panadura,,2,,,
GLE2MTR,CR,GLE - MTR,Galle to Matara,,2,,,
MDA2KTN,CR,MDA - KTN,Maradana to Kalutara North,,2,,,
MRT2MRT,CR,MRT - MRT,Moratuwa to Moratuwa,,2,,,
AGL2PAN,CR,AGL - PAN,Angulana to Panadura,,2,,,
AGL2MRT,CR,AGL - MRT,Angulana to Moratuwa,,2,,,
MDA2DWL,CR,MDA - DWL,Maradana to Dehiwela,,2,,,
MDA2ALT,CR,MDA - ALT,Maradana to Aluthgama,,2,,,
ANM2MTR,CR,ANM - MTR,Ahangama to Matara,,2,,,
MDA2HML,CR,MDA - HML,Maradana to Hettimulla,,2,,,
AGL2WDA,CR,AGL - WDA,Angulana to Wadduwa,,2,,,
MDA2GLE,CR,MDA - GLE,Maradana to Galle,,2,,,
ALT2MTR,CR,ALT - MTR,Aluthgama to Matara,,2,,,
AGL2ALT,CR,AGL - ALT,Angulana to Aluthgama,,2,,,
MLV2GLE,CR,MLV - GLE,Mount Lavinia to Galle,,2,,,
MNL2PTM,CR,MNL - PTM,Mundel to Puttalam,,2,,,
NOR2PNV,CR,NOR - PNV,Noor Nagar to Periyanagavillu,,2,,,
FOT2AVS,CR,FOT - AVS,Colombo Fort to Avissawella,,2,,,
FOT2PDK,CR,FOT - PDK,Colombo Fort to Padukka,,2,,,
FOT2PWP,CR,FOT - PWP,Colombo Fort to Puwakpitiya,,2,,,
PNW2AVS,CR,PNW - AVS,Pinnawala to Avissawella,,2,,,
FOT2KSG,CR,FOT - KSG,Colombo Fort to Kosgama,,2,,,
AVS2MDA,CR,AVS - MDA,Avissawella to Maradana,,2,,,
KSG2MDA,CR,KSG - MDA,Kosgama to Maradana,,2,,,
PDK2MDA,CR,PDK - MDA,Padukka to Maradana,,2,,,
PNW2MDA,CR,PNW - MDA,Pinnawala to Maradana,,2,,,
KPE2MDA,CR,KPE - MDA,Kirulapona to Maradana,,2,,,
